
21. Printing statistics.

=== aes128 ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
    14184        -    14184        - wires
    14565        -    14565        - wire bits
      268        -      268        - public wires
      649        -      649        - public wire bits
        7        -        7        - ports
      388        -      388        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
       30  337.824       30  337.824   sky130_fd_sc_hd__o221a_2
      243 2.13E+03      243 2.13E+03   sky130_fd_sc_hd__o221ai_1
        1   15.014        1   15.014   sky130_fd_sc_hd__o221ai_2
       24  210.202       24  210.202   sky130_fd_sc_hd__o22a_1
      327 2.05E+03      327 2.05E+03   sky130_fd_sc_hd__o22ai_1
       27  236.477       27  236.477   sky130_fd_sc_hd__o2bb2ai_1
        1   15.014        1   15.014   sky130_fd_sc_hd__o2bb2ai_2
       25   250.24       25   250.24   sky130_fd_sc_hd__o311a_1
       65  569.296       65  569.296   sky130_fd_sc_hd__o311ai_0
       10   87.584       10   87.584   sky130_fd_sc_hd__o311ai_1
        8  130.125        8  130.125   sky130_fd_sc_hd__o311ai_2
        2    52.55        2    52.55   sky130_fd_sc_hd__o311ai_4
       41  359.094       41  359.094   sky130_fd_sc_hd__o31a_1
      129  968.429      129  968.429   sky130_fd_sc_hd__o31ai_1
        6   75.072        6   75.072   sky130_fd_sc_hd__o31ai_2
        1    21.27        1    21.27   sky130_fd_sc_hd__o31ai_4
       23  230.221       23  230.221   sky130_fd_sc_hd__o32a_1
       54  472.954       54  472.954   sky130_fd_sc_hd__o32ai_1
        2   32.531        2   32.531   sky130_fd_sc_hd__o32ai_2
        3   82.579        3   82.579   sky130_fd_sc_hd__o32ai_4
        1   11.261        1   11.261   sky130_fd_sc_hd__o41a_1
       21  183.926       21  183.926   sky130_fd_sc_hd__o41ai_1
        1   16.266        1   16.266   sky130_fd_sc_hd__o41ai_2
        1   27.526        1   27.526   sky130_fd_sc_hd__o41ai_4
        2   12.512        2   12.512   sky130_fd_sc_hd__or2_0
       21  131.376       21  131.376   sky130_fd_sc_hd__or2_1
       93  581.808       93  581.808   sky130_fd_sc_hd__or2_2
        1    7.507        1    7.507   sky130_fd_sc_hd__or2b_1
       70   437.92       70   437.92   sky130_fd_sc_hd__or3_1
       13  113.859       13  113.859   sky130_fd_sc_hd__or3b_1
       24  210.202       24  210.202   sky130_fd_sc_hd__or3b_2
       16  120.115       16  120.115   sky130_fd_sc_hd__or4_1
        6   60.058        6   60.058   sky130_fd_sc_hd__or4b_1
        2   20.019        2   20.019   sky130_fd_sc_hd__or4b_2
      631  5526.55      631  5526.55   sky130_fd_sc_hd__xnor2_1
